,Static bc,Dyn,Dyn One Node,Affected
0,30.42792582511902,0.14025473594665527,0.04355955123901367,15363
1,30.246074438095093,0.11702084541320801,0.0008275508880615234,1075
2,29.45465660095215,0.01578807830810547,0.0003399848937988281,24
3,30.410197496414185,0.8052854537963867,0.33792567253112793,135022
4,30.182913303375244,0.38889098167419434,0.003518819808959961,9894
5,30.555700063705444,0.05442333221435547,0.00031495094299316406,5
6,30.669939279556274,0.871941328048706,0.2540404796600342,96012
7,30.009806156158447,0.014556407928466797,0.00027561187744140625,2
8,30.799115657806396,0.015445709228515625,0.00022792816162109375,12
9,31.561305284500122,0.0955202579498291,0.0007069110870361328,420
