,Static bc,Dyn,Dyn One Node,Affected
0,0.2599141597747803,0.008352041244506836,9.560585021972656e-05,139
1,0.325763463973999,0.001798868179321289,9.1552734375e-05,42
2,0.29262328147888184,0.0005145072937011719,6.127357482910156e-05,2
3,0.2830848693847656,0.0004119873046875,4.0531158447265625e-05,7
4,0.31656646728515625,0.0010776519775390625,6.628036499023438e-05,36
5,0.28148412704467773,0.002223491668701172,0.0003914833068847656,546
6,0.2751028537750244,0.0009508132934570312,4.649162292480469e-05,17
7,0.2913057804107666,0.0018863677978515625,0.000152587890625,158
8,0.32943248748779297,0.00041103363037109375,3.4332275390625e-05,3
9,0.2867107391357422,0.004978656768798828,0.00018930435180664062,408
