,Static bc,Dyn,Dyn One Node,Affected
0,17.28097939491272,0.04068446159362793,0.02283787727355957,3993
1,17.881320476531982,0.44145917892456055,0.01474142074584961,6274
2,18.097442388534546,0.004425764083862305,0.0003819465637207031,14
3,17.8042733669281,0.04837322235107422,0.03041839599609375,5018
4,17.945517539978027,0.044548988342285156,0.02031087875366211,3196
5,18.463156938552856,0.40018129348754883,0.030788660049438477,6526
6,17.991945266723633,0.03697633743286133,0.016019105911254883,1830
7,18.021182537078857,0.03237581253051758,0.012254476547241211,947
8,18.80257797241211,0.5196504592895508,0.03436398506164551,16069
9,18.169687747955322,0.027391672134399414,0.011514425277709961,965
