,Static bc,Dyn,Dyn One Node,Affected
0,9.62304162979126,0.175950288772583,0.0008263587951660156,1935
1,9.574550867080688,0.017487764358520508,0.004455089569091797,1879
2,9.382528066635132,0.2013716697692871,0.0009608268737792969,2130
3,9.391159057617188,0.006894350051879883,0.00011706352233886719,7
4,8.759061098098755,0.02202320098876953,0.00013136863708496094,43
5,9.868182182312012,0.16742324829101562,0.0007145404815673828,1257
6,8.987146615982056,0.0005259513854980469,8.392333984375e-05,1
7,9.693743467330933,0.1552126407623291,0.026574134826660156,15869
8,9.4193594455719,0.009418010711669922,9.608268737792969e-05,10
9,9.223056316375732,0.048423051834106445,0.03175687789916992,5502
