,Static bc,Dyn,Dyn One Node,Affected
0,2.924882650375366,0.0004010200500488281,7.772445678710938e-05,2
1,2.9579598903656006,0.0021576881408691406,0.0002872943878173828,2
2,2.900092124938965,0.027087926864624023,0.0006086826324462891,44
3,2.8279528617858887,0.02649378776550293,0.0006189346313476562,64
4,2.958223819732666,0.0018663406372070312,0.0002627372741699219,2
5,2.826676607131958,0.027368545532226562,0.0006415843963623047,50
6,2.759086847305298,0.030640840530395508,0.0006389617919921875,40
7,4.354001045227051,0.006165266036987305,0.000270843505859375,4
8,2.9743237495422363,0.035332679748535156,0.0006358623504638672,72
9,2.806891441345215,0.02063441276550293,0.0005354881286621094,31
