,Static bc,Dyn,Dyn One Node,Affected
0,2.4820687770843506,0.0002818107604980469,0.00010418891906738281,2
1,2.533766269683838,0.0012364387512207031,0.0002338886260986328,7
2,2.488347053527832,0.0010786056518554688,0.00026726722717285156,5
3,2.543086051940918,0.0006277561187744141,0.00021958351135253906,2
4,3.0195648670196533,0.0014736652374267578,0.0003070831298828125,9
5,2.5790185928344727,0.0006136894226074219,0.00026869773864746094,2
6,3.6171069145202637,0.4124279022216797,0.004066944122314453,28500
7,2.7207529544830322,0.011666536331176758,0.000621795654296875,2777
8,3.590080499649048,0.0031630992889404297,0.00019741058349609375,2
9,2.4919636249542236,0.0018341541290283203,0.000278472900390625,3
