Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
59	10.500	186.500	190.833	193.417	195.917	198.250	200.083	201.667	203.000	204.333	205.667	
22	7.733	243.233	246.900	249.233	251.067	252.650	253.983	255.317	256.650	257.483	258.233	
0	37.983	44.333	47.166	49.083	51.000	52.833	54.333	55.666	57.000	58.333	59.666	
17	5.750	152.750	157.017	160.100	162.042	163.542	164.875	165.792	166.625	167.458	168.292	
24	4.833	88.333	92.833	95.500	98.083	100.583	102.583	104.250	105.833	107.333	108.833	
53	1.333	181.333	188.083	191.170	193.837	195.837	197.670	199.504	201.062	202.567	203.900	
38	1.333	178.333	182.667	185.000	187.250	189.500	191.333	192.917	194.417	195.833	197.333	
50	1.000	97.000	101.333	103.733	106.133	108.467	110.300	111.967	113.550	115.050	116.550	
13	.833	96.833	101.167	103.567	105.967	108.300	110.133	111.800	113.383	114.883	116.383	
30	1.000	11.035	14.583	17.670	20.716	23.716	26.216	28.433	30.600	32.600	34.600	
95	0	97.000	101.833	104.333	106.667	108.917	110.917	112.750	114.417	116.083	117.583	
29	.833	177.833	180.833	182.500	184.000	185.333	186.500	187.500	188.500	189.500	190.400	
92	0	275.000	277.100	278.350	279.445	280.320	280.987	281.487	281.987	282.487	282.987	
78	0	10.035	13.583	16.670	19.716	22.716	25.216	27.433	29.600	31.600	33.600	
81	0	467.000	468.333	469.167	469.667	470.167	470.667	471.117	471.533	471.867	472.200	
41	0	97.000	101.500	104.167	106.750	109.250	111.250	112.917	114.500	116.000	117.500	
61	0	525.500	529.167	531.500	533.083	534.417	535.619	536.452	537.286	538.119	538.952	
70	0	177.000	179.433	181.517	183.350	184.679	185.787	186.787	187.787	188.704	189.454	
57	0	97.000	101.833	104.333	106.667	108.917	110.917	112.750	114.417	116.083	117.583	
64	0	274.000	278.333	280.917	283.417	285.750	287.583	289.167	290.667	292.000	293.333	
