Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
8	6.500	8.994	10.277	11.527	12.560	13.510	14.460	15.410	16.327	17.244	18.027	
33	3.633	96.633	99.166	100.583	101.833	103.033	104.233	105.267	106.267	107.217	108.167	
0	32.600	35.166	36.666	37.916	39.166	40.283	41.283	42.200	43.116	43.950	44.733	
13	2.716	5.750	7.500	8.950	10.400	11.850	13.100	14.350	15.466	16.583	17.616	
9	1.500	4.366	5.866	7.316	8.566	9.816	10.933	11.966	12.966	13.916	14.866	
30	.500	186.500	188.377	189.377	190.211	190.961	191.711	192.461	193.161	193.827	194.494	
74	.500	185.500	187.544	188.627	189.661	190.611	191.561	192.477	193.394	194.261	195.044	
69	.200	94.200	96.900	98.400	99.650	100.900	102.017	103.017	103.967	104.883	105.800	
24	.200	87.200	89.566	90.766	91.933	93.050	94.050	95.050	96.000	96.916	97.833	
85	.200	187.200	189.733	191.150	192.400	193.600	194.800	195.833	196.833	197.783	198.733	
84	0	96.000	98.116	99.316	100.317	101.267	102.183	103.100	103.967	104.833	105.583	
18	.200	86.200	88.150	89.150	90.100	91.016	91.850	92.600	93.300	94.000	94.700	
87	0	283.000	285.000	286.083	287.117	288.067	289.017	289.933	290.850	291.717	292.500	
81	0	364.000	365.226	366.060	366.726	367.393	367.976	368.560	369.143	369.676	370.176	
20	0	266.000	267.437	268.353	269.187	269.887	270.470	271.003	271.537	272.070	272.603	
48	0	89.000	91.294	92.377	93.460	94.377	95.294	96.127	96.910	97.694	98.477	
65	0	172.000	173.694	174.694	175.611	176.394	177.094	177.794	178.411	179.027	179.611	
72	0	184.000	185.150	185.850	186.517	187.133	187.717	188.250	188.783	189.283	189.783	
59	0	172.000	173.661	174.694	175.561	176.344	177.094	177.844	178.544	179.211	179.877	
68	0	282.000	284.200	285.367	286.367	287.367	288.283	289.150	289.983	290.767	291.550	
