Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
69	0	108.000	178.000	238.000	283.000	328.000	370.000	412.000	454.000	484.000	514.000	
66	0	0	0	0	0	0	0	0	0	0	0	
74	0	9.500	15.833	21.083	25.250	28.883	32.316	35.616	38.783	40.866	43.033	
62	0	0	0	0	0	0	0	0	0	0	0	
59	0	0	0	0	0	0	0	0	0	0	0	
91	0	9.500	15.833	21.083	25.250	28.883	32.316	35.616	38.783	40.866	43.033	
90	0	0	0	0	0	0	0	0	0	0	0	
84	0	28.000	33.000	36.000	39.000	42.000	45.000	48.000	50.000	52.000	54.000	
77	0	0	0	0	0	0	0	0	0	0	0	
80	0	0	0	0	0	0	0	0	0	0	0	
15	0	109.000	179.667	240.167	286.333	331.833	375.167	418.167	460.167	490.667	520.833	
25	0	35.000	45.000	53.000	59.000	65.000	71.000	77.000	81.000	85.000	89.000	
12	0	135.000	210.000	274.000	322.000	367.000	412.000	457.000	502.000	534.000	566.000	
18	0	0	0	0	0	0	0	0	0	0	0	
14	0	35.000	45.000	53.000	59.000	65.000	71.000	77.000	81.000	85.000	89.000	
38	0	0	0	0	0	0	0	0	0	0	0	
36	0	108.000	178.000	238.000	283.000	328.000	370.000	412.000	454.000	484.000	514.000	
29	0	0	0	0	0	0	0	0	0	0	0	
40	0	108.000	178.000	238.000	283.000	328.000	370.000	412.000	454.000	484.000	514.000	
33	0	28.000	33.000	36.000	39.000	42.000	45.000	48.000	50.000	52.000	54.000	
