Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
3	8.666	12.650	15.900	18.400	20.733	23.066	25.233	27.400	29.566	31.554	33.471	
13	7.166	63.166	68.750	71.416	74.083	76.583	78.750	80.750	82.750	84.583	86.250	
4	33.833	37.816	40.483	42.650	44.816	46.983	48.971	50.804	52.638	54.471	56.304	
53	5.333	143.333	148.333	150.833	153.083	155.083	156.917	158.417	159.917	161.250	162.583	
24	4.750	154.750	158.150	159.817	161.483	162.833	164.000	165.000	166.000	167.000	167.900	
18	1.000	6.000	10.750	14.583	17.850	21.016	23.966	26.383	28.633	30.716	32.550	
34	1.000	98.000	101.000	103.400	105.067	106.733	108.400	110.067	111.567	113.067	114.567	
7	.833	56.833	62.416	65.583	68.250	70.916	73.416	75.583	77.583	79.416	81.150	
82	0	138.000	143.000	145.500	147.750	149.917	151.917	153.750	155.250	156.750	158.083	
39	.500	5.500	10.250	14.083	17.350	20.516	23.466	25.883	28.133	30.216	32.050	
94	0	243.000	245.300	246.300	247.300	247.967	248.467	248.967	249.467	249.867	250.267	
77	0	273.000	276.000	278.250	280.033	281.583	283.083	284.583	286.083	287.583	288.917	
83	0	149.000	152.917	155.750	157.917	159.917	161.750	163.583	165.400	166.900	168.400	
97	0	520.000	520.667	520.667	520.667	520.667	520.667	520.667	520.667	520.667	520.667	
93	0	178.000	181.083	183.583	185.750	187.750	189.583	191.417	192.917	194.417	195.750	
30	0	91.000	94.083	96.750	98.916	100.917	102.750	104.583	106.417	107.917	109.317	
56	0	178.500	180.250	181.917	183.245	184.245	185.145	185.895	186.562	187.229	187.895	
67	0	3.983	7.233	9.900	12.400	14.733	17.066	19.233	21.400	23.388	25.304	
47	0	191.000	194.367	197.450	200.267	202.517	204.567	206.317	207.817	209.317	210.650	
61	0	284.000	285.000	285.700	285.950	286.200	286.450	286.700	286.700	286.700	286.700	
