Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
6	7.566	8.733	9.766	10.716	11.550	12.333	13.116	13.900	14.650	15.383	16.116	
44	6.200	273.200	274.200	275.150	275.933	276.717	277.450	278.183	278.917	279.650	280.350	
0	39.850	41.183	42.433	43.266	44.050	44.833	45.616	46.400	47.183	47.966	48.750	
55	4.150	175.650	176.650	177.400	178.133	178.867	179.600	180.333	181.033	181.700	182.367	
16	3.716	92.716	93.750	94.533	95.200	95.816	96.433	97.050	97.583	98.116	98.650	
25	.500	347.500	348.500	349.033	349.533	350.033	350.450	350.867	351.283	351.700	352.067	
30	.400	170.400	171.767	172.767	173.633	174.500	175.367	176.200	176.983	177.733	178.433	
80	.200	270.200	270.900	271.517	272.133	272.717	273.250	273.783	274.317	274.817	275.317	
74	.200	364.200	365.200	366.150	366.933	367.717	368.450	369.183	369.917	370.650	371.350	
29	.200	1.533	2.783	3.900	4.983	5.966	6.916	7.866	8.816	9.766	10.716	
88	0	160.500	161.500	162.450	163.317	164.183	165.050	165.833	166.617	167.400	168.150	
82	0	461.500	462.167	462.667	463.167	463.667	464.000	464.333	464.667	465.000	465.333	
91	0	98.000	99.166	100.000	100.750	101.500	102.233	102.967	103.700	104.433	105.133	
84	0	462.000	462.783	463.567	464.317	464.967	465.583	466.200	466.783	467.317	467.850	
89	0	171.500	172.500	173.417	174.283	175.117	175.900	176.650	177.400	178.100	178.800	
36	0	267.000	267.867	268.533	269.067	269.600	270.133	270.633	271.083	271.533	271.950	
57	0	257.500	258.533	259.567	260.600	261.600	262.517	263.383	264.133	264.883	265.633	
68	0	355.500	356.367	357.200	358.033	358.867	359.700	360.450	361.200	361.950	362.700	
52	0	257.500	258.200	258.900	259.600	260.300	260.967	261.633	262.300	262.967	263.467	
64	0	163.500	164.417	165.283	166.117	166.950	167.783	168.617	169.367	170.117	170.867	
