Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
13	15.466	222.967	226.300	229.133	230.800	232.383	233.967	235.467	236.967	238.467	239.800	
11	9.733	216.233	220.233	223.067	225.400	227.733	229.317	230.900	232.400	233.900	235.400	
23	49.500	98.500	101.833	105.000	107.833	110.667	113.500	116.333	119.167	122.000	124.000	
31	8.666	132.667	136.333	139.667	142.567	145.400	147.900	150.233	152.567	154.900	157.233	
26	6.666	188.667	192.583	196.417	199.617	201.950	204.283	206.617	208.950	211.200	213.117	
35	2.000	395.500	398.333	399.917	401.500	403.000	404.500	406.000	407.333	408.667	409.869	
19	1.833	176.833	178.995	181.157	182.919	184.510	185.843	187.176	188.510	189.760	190.740	
27	1.000	176.000	178.162	180.324	182.086	183.676	185.010	186.343	187.676	188.926	189.907	
73	0	90.500	94.416	98.257	102.090	104.757	107.090	109.424	111.757	114.007	116.090	
52	.500	8.757	15.783	21.723	26.057	29.461	32.295	34.628	36.883	39.133	41.333	
89	0	306.000	310.167	311.700	313.067	314.400	315.317	316.233	317.150	317.983	318.817	
76	0	278.000	279.600	281.100	282.433	283.529	284.624	285.624	286.552	287.481	288.410	
92	0	393.500	396.333	397.917	399.500	401.000	402.500	404.000	405.333	406.667	408.000	
85	0	273.000	274.667	276.250	277.833	279.167	280.500	281.833	283.083	284.333	285.583	
90	0	90.500	98.757	105.602	110.390	112.974	115.390	117.629	119.629	121.462	123.295	
38	0	216.000	219.000	221.900	224.733	227.567	230.067	232.567	234.900	237.233	239.567	
59	0	98.000	101.917	105.757	109.590	112.257	114.590	116.924	119.257	121.507	123.590	
69	0	505.000	505.667	506.333	506.333	506.333	506.333	506.333	506.333	506.333	506.333	
53	0	367.000	367.600	368.029	368.457	368.886	369.314	369.743	370.118	370.493	370.868	
9	0	128.000	133.400	136.733	139.633	142.467	145.300	148.133	150.967	153.800	156.300	
