Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7
11	21.666	124.833	128.233	130.733	133.233	135.467	137.667	139.500	
0	17.250	23.500	28.900	32.350	34.928	37.345	39.695	41.861	
1	40.500	47.550	53.283	57.350	60.033	62.533	64.800	66.716	
51	13.250	431.250	436.250	440.083	443.867	446.867	449.367	451.867	
40	10.666	191.167	194.333	197.333	199.567	201.800	203.800	205.700	
33	5.166	11.583	15.916	19.366	21.800	24.133	26.466	28.716	
54	5.000	371.500	374.333	376.083	377.333	378.533	379.733	380.767	
49	4.000	140.000	146.417	151.333	154.783	157.533	160.283	162.783	
18	2.000	42.166	44.666	46.916	48.783	50.616	52.066	53.316	
17	2.833	43.000	45.500	47.750	49.616	51.450	52.900	54.233	
80	0	346.000	349.783	352.783	355.783	358.283	360.783	363.283	
31	1.000	41.166	43.666	45.916	47.783	49.616	51.066	52.400	
89	0	482.167	484.667	486.917	488.783	490.617	492.067	493.400	
98	0	444.000	450.433	456.183	459.633	462.300	464.967	467.533	
81	0	276.500	279.167	281.500	283.500	285.500	287.400	289.133	
55	0	481.000	482.833	484.667	486.167	487.567	488.950	490.283	
60	0	535.000	538.167	541.000	543.500	545.250	546.750	548.083	
72	0	219.000	223.000	226.783	230.117	233.117	236.117	239.117	
46	0	446.500	449.667	451.667	453.167	454.667	456.167	457.167	
65	0	446.500	449.667	451.667	453.167	454.667	456.167	457.167	
