Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7
11	36.166	109.167	114.600	118.105	121.071	123.571	125.655	127.321	
14	29.166	177.167	180.767	183.267	185.600	187.833	189.717	191.550	
23	60.250	382.717	390.667	394.167	397.083	400.000	402.250	403.833	
17	20.000	56.666	64.416	71.333	75.416	78.383	81.150	83.900	
41	15.833	218.833	244.767	251.100	256.183	260.250	263.917	267.417	
73	6.833	290.333	306.567	312.117	316.850	320.483	324.017	327.517	
71	6.333	97.333	103.667	108.000	111.067	113.567	115.900	117.733	
86	3.000	39.666	47.416	54.333	58.416	62.333	65.300	68.066	
76	0	883.667	886.429	889.012	891.345	893.679	895.679	897.679	
51	1.833	38.500	45.733	51.983	57.800	61.633	64.900	68.150	
89	0	544.700	549.381	551.714	553.714	555.548	557.048	558.464	
79	0	523.667	528.167	532.400	535.450	538.667	542.167	545.167	
92	0	552.700	557.381	559.381	561.214	562.714	564.131	565.498	
13	0	154.000	166.233	171.133	174.117	177.083	179.917	182.517	
90	0	934.000	935.317	936.300	937.229	938.083	939.012	939.762	
38	0	270.000	290.867	295.950	300.450	304.200	307.533	310.850	
28	0	355.000	361.033	365.200	368.533	371.867	375.333	379.167	
26	0	244.133	252.750	260.083	264.417	267.917	271.612	275.207	
58	0	400.500	407.500	414.500	417.500	420.200	422.700	424.700	
66	0	523.667	530.700	534.867	537.950	540.950	543.950	546.750	
