Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7
58	23.166	681.167	686.333	691.333	693.967	696.300	698.633	700.867	
27	19.500	447.500	448.900	449.586	450.086	450.486	450.886	451.219	
14	55.333	211.333	214.667	218.000	221.167	224.167	227.000	229.250	
18	16.416	67.916	72.616	76.783	80.616	83.616	86.116	88.516	
2	13.166	16.783	19.366	21.866	24.200	26.200	28.200	30.033	
38	5.583	142.083	145.750	149.250	152.750	156.150	159.150	161.817	
6	5.250	8.250	11.250	13.583	15.583	17.083	18.583	20.083	
44	4.466	159.783	163.883	166.783	169.117	171.383	173.550	175.550	
32	2.833	6.950	10.950	14.485	17.652	20.152	22.652	25.116	
48	4.000	392.000	398.500	403.233	407.383	410.717	413.550	415.550	
84	0	637.000	641.500	645.417	647.917	649.917	651.917	653.917	
50	2.500	5.500	8.500	10.833	12.833	14.333	15.833	17.333	
87	0	498.850	505.400	510.050	514.567	518.233	521.233	524.233	
81	0	687.500	692.033	695.350	698.350	701.267	703.517	705.517	
85	0	752.333	758.400	763.867	767.340	770.407	772.740	775.067	
99	0	392.000	400.000	406.767	412.733	417.067	421.067	424.700	
67	0	136.500	140.167	143.667	147.167	150.567	153.567	156.233	
74	0	1371.500	1376.330	1378.750	1380.330	1381.330	1382.000	1382.500	
36	0	147.500	151.500	154.950	157.850	160.600	163.233	165.733	
70	0	504.667	505.833	507.000	508.133	509.200	510.200	510.933	
