Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
10	5.633	6.750	7.783	8.816	9.850	10.850	11.850	12.800	13.666	14.500	15.166	
12	3.866	92.866	93.900	94.900	95.850	96.766	97.633	98.466	99.216	99.916	100.583	
2	29.616	30.733	31.850	32.766	33.633	34.383	35.083	35.783	36.483	37.183	37.633	
31	2.400	85.650	86.933	87.966	89.000	90.033	91.033	91.950	92.866	93.616	94.366	
9	1.700	2.900	4.100	5.133	6.133	7.083	7.916	8.700	9.483	10.233	10.983	
65	.200	271.200	272.200	273.033	273.867	274.700	275.450	276.200	276.950	277.700	278.450	
54	.200	265.200	265.900	266.600	267.217	267.750	268.283	268.783	269.283	269.783	270.233	
41	.200	81.200	82.283	83.366	84.400	85.400	86.316	87.233	88.150	88.933	89.683	
73	0	279.000	279.667	280.333	281.000	281.583	282.083	282.583	283.083	283.583	284.083	
39	.200	88.200	89.066	89.850	90.633	91.383	92.133	92.883	93.583	94.250	94.916	
81	0	97.000	97.916	98.833	99.616	100.367	101.067	101.767	102.383	103.000	103.583	
97	0	83.250	84.450	85.450	86.450	87.400	88.266	89.133	89.966	90.716	91.416	
84	0	96.000	97.283	98.566	99.516	100.383	101.250	102.083	102.783	103.483	104.150	
94	0	95.000	95.866	96.700	97.483	98.266	99.050	99.800	100.500	101.200	101.867	
82	0	374.000	374.500	374.700	374.900	375.100	375.300	375.467	375.633	375.800	375.967	
24	0	374.000	374.500	374.700	374.900	375.100	375.300	375.467	375.633	375.800	375.967	
55	0	172.000	172.867	173.567	174.267	174.933	175.600	176.217	176.750	177.283	177.783	
66	0	95.000	96.083	97.166	97.950	98.700	99.316	99.933	100.467	101.000	101.533	
70	0	195.000	195.867	196.650	197.400	198.150	198.850	199.517	200.183	200.850	201.517	
60	0	265.000	265.700	266.400	267.017	267.550	268.083	268.583	269.083	269.583	270.033	
