Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7
7	31.356	38.056	43.237	47.404	51.561	55.311	58.394	61.433	
84	27.222	1164.220	1170.420	1176.420	1179.920	1181.760	1183.260	1184.760	
5	57.597	181.597	186.847	191.580	195.378	198.378	201.378	204.367	
14	19.666	115.333	129.833	137.519	142.852	146.852	150.852	154.511	
82	18.548	660.548	674.548	680.048	684.929	688.690	690.857	692.757	
89	10.000	835.000	844.333	849.500	853.667	857.833	860.250	862.583	
28	9.833	108.333	122.083	127.658	132.525	136.025	139.358	142.558	
83	7.777	535.777	543.611	548.277	552.944	556.411	558.873	560.944	
62	5.000	177.000	181.750	186.450	190.450	193.950	196.950	199.867	
18	6.500	68.000	75.600	80.885	85.607	89.807	93.907	97.224	
90	0	386.667	394.917	403.117	407.428	411.041	414.458	417.075	
79	0	554.167	558.667	561.867	564.817	567.233	569.483	571.650	
92	0	258.667	267.917	273.917	279.333	284.500	289.233	292.733	
96	0	662.000	669.500	675.667	680.667	684.667	688.167	691.417	
93	0	1235.000	1240.200	1244.200	1248.200	1252.200	1256.200	1259.670	
17	0	199.000	217.600	226.552	233.852	238.344	241.678	244.844	
54	0	350.000	357.000	362.042	366.970	371.887	374.899	377.482	
67	0	62.000	73.233	80.366	85.366	88.700	92.000	95.019	
48	0	533.000	538.929	543.690	547.107	549.107	550.982	552.649	
59	0	483.167	494.167	501.917	507.617	511.283	514.850	518.383	
