Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
1	17.666	24.500	28.083	31.166	33.900	36.233	38.483	40.500	42.166	43.666	45.166	
14	8.126	324.126	328.583	332.333	334.167	336.000	337.833	339.667	341.500	343.333	344.750	
7	38.961	181.962	187.000	190.333	193.333	195.833	198.333	200.667	202.833	204.667	206.167	
49	7.733	279.233	284.817	286.817	288.817	290.317	291.733	293.067	294.067	295.067	296.067	
17	6.000	165.500	175.000	179.750	183.250	186.583	189.333	191.833	194.333	196.817	199.267	
12	2.000	11.900	16.383	20.800	24.616	28.200	31.366	34.438	37.271	39.604	41.771	
20	2.000	173.000	181.417	184.750	187.750	190.750	193.250	195.583	197.667	199.667	201.500	
58	1.333	163.833	172.167	178.900	182.417	185.500	187.833	190.167	192.500	194.750	197.000	
78	0	408.000	411.250	414.283	416.283	417.683	418.817	419.950	421.069	422.069	423.069	
25	.833	85.333	92.916	96.816	100.217	103.050	105.783	108.283	110.783	113.283	114.950	
89	0	269.000	277.417	280.750	283.750	286.750	289.250	291.583	293.667	295.667	297.500	
80	0	11.166	17.300	22.300	26.966	30.335	33.585	36.785	39.835	42.835	45.466	
92	0	376.000	378.000	379.417	380.417	381.317	382.145	382.974	383.640	384.307	384.640	
85	0	278.000	285.250	288.833	291.917	294.250	296.583	298.917	301.167	303.417	305.083	
90	0	95.000	103.750	107.083	110.083	113.083	115.583	117.917	120.050	121.967	123.800	
29	0	71.933	84.166	88.166	92.133	95.466	98.600	101.267	103.933	106.367	108.700	
59	0	95.000	102.436	106.019	109.352	112.302	114.802	117.202	119.536	121.869	124.119	
69	0	274.500	280.083	282.083	284.083	285.917	287.417	288.833	290.167	291.369	292.369	
53	0	182.500	188.417	190.417	192.417	194.012	195.512	196.979	198.420	199.670	200.837	
62	0	601.000	604.250	606.333	607.833	608.833	609.833	610.833	611.750	612.450	613.150	
