Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
12	12.966	57.966	59.466	60.883	62.272	63.638	64.977	66.177	67.327	68.411	69.244	
7	7.485	52.985	54.485	55.902	57.269	58.607	59.807	60.807	61.674	62.541	63.407	
0	47.121	49.288	51.440	53.416	55.250	57.083	58.833	60.250	61.666	63.033	64.366	
11	3.683	89.683	91.766	93.633	95.466	96.800	98.133	99.416	100.700	101.983	103.233	
48	2.833	466.333	467.000	467.667	468.200	468.700	469.200	469.700	470.200	470.700	471.100	
37	.650	95.650	97.650	99.600	101.350	103.017	104.683	106.183	107.517	108.850	110.083	
35	.600	221.600	222.767	223.717	224.560	225.353	226.103	226.770	227.436	227.936	228.436	
64	.400	138.900	140.017	141.110	142.203	143.286	144.320	145.270	146.186	147.086	147.953	
46	.200	192.200	194.033	195.733	197.317	198.650	199.983	201.233	202.317	203.400	204.483	
69	.250	557.750	558.417	559.083	559.617	560.117	560.617	561.117	561.617	562.117	562.617	
83	0	373.000	374.500	376.000	377.333	378.333	379.333	380.333	381.167	382.000	382.833	
28	.200	225.200	226.200	227.150	227.993	228.786	229.536	230.203	230.870	231.370	231.870	
99	0	206.583	207.876	209.160	210.410	211.576	212.743	213.743	214.743	215.643	216.510	
80	0	463.500	464.533	465.533	466.533	467.367	468.067	468.733	469.400	469.900	470.400	
84	0	397.500	398.200	398.867	399.450	399.983	400.517	401.017	401.517	402.017	402.517	
55	0	227.500	228.583	229.617	230.617	231.593	232.543	233.493	234.368	235.193	235.976	
59	0	371.500	372.867	374.200	375.283	376.233	376.983	377.710	378.410	379.076	379.726	
73	0	2.416	4.833	7.083	8.916	10.750	12.500	14.033	15.566	16.983	18.400	
53	0	315.000	316.167	316.893	317.593	318.293	318.918	319.410	319.860	320.310	320.760	
68	0	413.000	414.167	414.750	415.310	415.851	416.393	416.843	417.293	417.743	418.160	
