Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
7	8.550	9.800	10.916	11.866	12.816	13.733	14.650	15.433	16.216	17.000	17.700	
29	4.500	185.500	186.167	186.783	187.317	187.817	188.317	188.767	189.217	189.667	190.117	
5	28.983	30.483	31.483	32.483	33.400	34.316	35.233	36.066	36.850	37.633	38.416	
8	3.250	4.750	5.783	6.783	7.783	8.783	9.766	10.716	11.666	12.583	13.500	
18	2.050	95.050	95.966	96.750	97.500	98.250	98.900	99.516	100.133	100.750	101.367	
37	.500	372.500	373.167	373.783	374.317	374.817	375.317	375.767	376.217	376.667	377.117	
28	.500	244.500	245.250	246.000	246.750	247.450	248.117	248.700	249.283	249.817	250.350	
82	.200	93.200	94.200	95.183	96.133	96.966	97.716	98.466	99.166	99.866	100.533	
30	.200	1.783	3.033	4.283	5.400	6.516	7.633	8.750	9.783	10.783	11.733	
87	.200	252.200	253.117	254.033	254.867	255.650	256.433	257.183	257.883	258.500	259.083	
95	0	94.000	95.250	96.200	97.116	98.033	98.900	99.766	100.633	101.467	102.250	
40	.200	96.200	97.783	99.033	100.283	101.400	102.517	103.633	104.667	105.617	106.483	
84	0	360.000	361.083	362.167	363.250	364.117	364.983	365.817	366.600	367.350	368.050	
79	0	291.000	291.583	292.117	292.650	293.183	293.717	294.217	294.717	295.167	295.583	
81	0	1.500	2.533	3.533	4.533	5.533	6.516	7.466	8.416	9.333	10.250	
12	0	1.250	2.366	3.316	4.266	5.183	6.100	6.883	7.666	8.450	9.150	
58	0	1.416	2.366	3.316	4.266	5.183	6.100	6.966	7.833	8.700	9.566	
70	0	623.000	623.450	623.900	624.350	624.717	625.083	625.450	625.817	626.067	626.317	
50	0	94.000	94.916	95.700	96.483	97.266	97.966	98.666	99.366	100.067	100.683	
62	0	182.000	183.083	183.950	184.650	185.300	185.917	186.533	187.117	187.650	188.183	
