Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
60	0	5.500	9.500	13.166	16.000	19.000	22.166	25.416	27.550	29.550	31.607	
0	215.500	418.500	530.500	619.500	691.500	763.500	834.500	903.500	951.500	999.500	1047.500	
65	0	10.000	15.500	19.500	22.583	25.750	28.833	31.916	34.966	37.100	39.133	
68	0	212.000	329.000	422.000	497.000	572.000	646.000	718.000	768.000	818.000	868.000	
57	0	20.000	24.000	28.000	31.000	34.000	37.000	39.000	41.000	43.000	45.000	
91	0	0	0	0	0	0	0	0	0	0	0	
82	0	19.000	24.000	28.000	31.000	34.000	37.000	40.000	42.000	44.000	46.000	
76	0	19.000	24.000	28.000	31.000	34.000	37.000	39.000	41.000	43.000	45.000	
77	0	0	0	0	0	0	0	0	0	0	0	
87	0	21.000	25.000	29.000	32.000	35.000	38.000	41.000	43.000	45.000	47.000	
8	0	0	0	0	0	0	0	0	0	0	0	
16	0	274.000	406.000	511.500	597.000	681.500	764.750	845.750	902.000	958.000	1014.000	
10	0	212.000	329.000	422.000	497.000	572.000	646.000	718.000	768.000	818.000	868.000	
15	0	0	0	0	0	0	0	0	0	0	0	
17	0	56.500	83.000	99.500	115.000	130.500	145.833	158.083	168.833	179.000	189.150	
46	0	20.000	24.000	28.000	31.000	34.000	37.000	39.000	41.000	43.000	45.000	
31	0	0	0	0	0	0	0	0	0	0	0	
36	0	20.000	24.000	28.000	31.000	34.000	37.000	39.000	41.000	43.000	45.000	
45	0	0	0	0	0	0	0	0	0	0	0	
44	0	0	0	0	0	0	0	0	0	0	0	
