Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
8	6.5	9.0	10.3	11.5	12.6	13.5	14.5	15.4	16.3	17.2	18.0
33	3.6	96.6	99.2	100.6	101.8	103.0	104.2	105.3	106.3	107.2	108.2
0	32.6	35.2	36.7	37.9	39.2	40.3	41.3	42.2	43.1	43.9	44.7
13	2.7	5.8	7.5	9.0	10.4	11.8	13.1	14.4	15.5	16.6	17.6
9	1.5	4.4	5.9	7.3	8.6	9.8	10.9	12.0	13.0	13.9	14.9
30	0.5	186.5	188.4	189.4	190.2	191.0	191.7	192.5	193.2	193.8	194.5
74	0.5	185.5	187.5	188.6	189.7	190.6	191.6	192.5	193.4	194.3	195.0
69	0.2	94.2	96.9	98.4	99.7	100.9	102.0	103.0	104.0	104.9	105.8
24	0.2	87.2	89.6	90.8	91.9	93.1	94.1	95.1	96.0	96.9	97.8
85	0.2	187.2	189.7	191.1	192.4	193.6	194.8	195.8	196.8	197.8	198.7
84	0.0	96.0	98.1	99.3	100.3	101.3	102.2	103.1	104.0	104.8	105.6
18	0.2	86.2	88.2	89.1	90.1	91.0	91.8	92.6	93.3	94.0	94.7
87	0.0	283.0	285.0	286.1	287.1	288.1	289.0	289.9	290.8	291.7	292.5
81	0.0	364.0	365.2	366.1	366.7	367.4	368.0	368.6	369.1	369.7	370.2
20	0.0	266.0	267.4	268.4	269.2	269.9	270.5	271.0	271.5	272.1	272.6
48	0.0	89.0	91.3	92.4	93.5	94.4	95.3	96.1	96.9	97.7	98.5
65	0.0	172.0	173.7	174.7	175.6	176.4	177.1	177.8	178.4	179.0	179.6
72	0.0	184.0	185.1	185.8	186.5	187.1	187.7	188.2	188.8	189.3	189.8
59	0.0	172.0	173.7	174.7	175.6	176.3	177.1	177.8	178.5	179.2	179.9
68	0.0	282.0	284.2	285.4	286.4	287.4	288.3	289.2	290.0	290.8	291.5
