Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
59	10.5	186.5	190.8	193.4	195.9	198.3	200.1	201.7	203.0	204.3	205.7
22	7.7	243.2	246.9	249.2	251.1	252.7	254.0	255.3	256.7	257.5	258.2
0	38.0	44.3	47.2	49.1	51.0	52.8	54.3	55.7	57.0	58.3	59.5
17	5.8	152.8	157.0	160.1	162.0	163.5	164.9	165.8	166.6	167.5	168.3
24	4.8	88.3	92.8	95.5	98.1	100.6	102.6	104.3	105.8	107.3	108.8
53	1.3	181.3	188.1	191.2	193.8	195.8	197.7	199.5	201.1	202.6	203.9
38	1.3	178.3	182.7	185.0	187.3	189.5	191.3	192.9	194.4	195.8	197.2
50	1.0	97.0	101.3	103.7	106.1	108.5	110.3	112.0	113.5	115.0	116.5
13	0.8	96.8	101.2	103.6	106.0	108.3	110.1	111.8	113.4	114.9	116.4
30	1.0	11.0	14.6	17.7	20.7	23.3	25.9	28.4	30.5	32.5	34.5
95	0.0	97.0	101.8	104.3	106.7	108.9	110.9	112.8	114.4	116.1	117.6
29	0.8	177.8	180.8	182.5	184.0	185.3	186.5	187.5	188.5	189.5	190.4
92	0.0	275.0	277.1	278.4	279.4	280.3	281.0	281.5	282.0	282.5	283.0
78	0.0	10.0	13.6	16.7	19.7	22.3	24.9	27.4	29.5	31.5	33.5
81	0.0	467.0	468.3	469.2	469.7	470.2	470.7	471.1	471.5	471.9	472.2
41	0.0	97.0	101.5	104.2	106.8	109.2	111.3	112.9	114.5	116.0	117.5
61	0.0	525.5	529.2	531.5	533.1	534.4	535.6	536.5	537.3	538.1	539.0
70	0.0	177.0	179.4	181.5	183.3	184.7	185.8	186.8	187.8	188.7	189.5
57	0.0	97.0	101.8	104.3	106.7	108.9	110.9	112.8	114.4	116.1	117.6
64	0.0	274.0	278.3	280.9	283.4	285.7	287.6	289.2	290.7	292.0	293.3
