Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
25	23.7	28.4	31.5	34.5	37.2	39.9	42.4	44.9	47.1	49.3	51.4
43	20.8	355.8	359.8	363.2	366.2	368.7	371.0	373.0	374.7	376.4	377.9
0	39.4	42.5	45.6	48.2	50.5	52.5	54.5	56.3	58.1	59.7	61.3
16	16.0	98.8	104.7	109.2	113.2	116.8	120.1	122.8	125.4	128.0	130.6
35	13.7	18.3	21.3	24.3	27.1	29.8	32.5	35.0	37.3	39.5	41.5
56	6.0	224.5	230.1	234.2	237.2	240.0	242.7	245.1	247.3	249.6	251.8
58	5.0	357.5	359.6	361.6	363.3	364.6	365.6	366.6	367.6	368.5	369.4
10	4.3	9.0	12.1	15.1	18.0	20.6	23.3	25.8	28.1	30.2	32.2
95	0.0	757.5	759.6	761.4	763.3	765.0	766.7	768.3	770.0	771.5	772.8
79	2.7	7.3	10.8	13.8	16.8	19.6	22.3	25.0	27.5	29.8	31.9
90	0.0	391.0	395.9	399.0	401.3	403.7	406.0	407.8	409.6	411.2	412.7
98	0.0	402.0	404.9	406.8	408.4	410.1	411.7	413.3	414.8	416.2	417.4
92	0.0	512.0	514.7	516.7	518.0	519.3	520.5	521.7	522.8	523.8	524.6
96	0.0	613.5	616.2	618.7	621.2	623.4	625.3	626.8	627.9	629.1	630.3
94	0.0	342.0	346.0	349.6	352.9	355.9	358.4	360.7	363.0	365.0	366.7
17	0.0	82.8	88.7	93.2	97.2	100.8	104.4	107.8	111.0	114.0	116.6
21	0.0	127.8	133.2	136.5	139.7	142.7	144.9	147.1	149.1	150.9	152.6
68	0.0	852.0	855.2	857.6	859.8	862.1	864.0	865.8	867.6	869.5	871.0
72	0.0	340.5	343.8	346.7	349.3	351.9	354.2	356.2	357.8	359.3	360.7
64	0.0	391.0	395.9	399.0	401.3	403.7	406.0	407.8	409.6	411.2	412.7
