Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
11	36.2	109.2	114.6	118.1	121.1	123.6	125.7	127.3	129.0	130.7	132.3
14	29.2	177.2	180.8	183.3	185.6	187.8	189.7	191.6	193.4	195.2	196.8
23	60.2	382.7	390.7	394.2	397.1	400.0	402.2	403.8	405.3	406.7	408.0
17	20.0	56.7	64.4	71.3	75.4	78.4	81.1	83.9	86.4	88.7	91.0
41	15.8	218.8	239.3	246.3	252.6	257.7	261.7	265.2	268.7	272.0	275.2
73	6.8	290.3	306.6	312.1	316.8	320.5	324.0	327.5	330.8	333.7	336.6
71	6.3	97.3	103.7	108.0	111.1	113.6	115.9	117.7	119.5	121.1	122.8
86	3.0	39.7	47.4	54.3	58.4	62.3	65.3	68.1	70.8	73.3	75.7
76	0.0	883.7	886.4	889.0	891.3	893.7	895.7	897.6	899.3	901.0	902.7
51	1.8	38.5	45.7	52.0	57.4	61.2	64.9	68.2	70.7	73.2	75.7
89	0.0	544.7	549.4	551.7	553.7	555.5	557.0	558.5	559.8	561.2	562.4
79	0.0	523.7	528.2	532.4	535.5	538.3	541.0	543.7	546.3	548.8	551.3
92	0.0	552.7	557.4	559.4	561.2	562.7	564.1	565.5	566.8	568.2	569.4
13	0.0	154.0	166.2	171.1	174.1	177.1	179.9	182.5	185.0	187.3	189.6
90	0.0	934.0	935.3	936.3	937.2	938.0	938.8	939.6	940.2	940.9	941.5
38	0.0	270.0	290.9	295.9	300.4	304.2	307.5	310.9	314.2	317.4	320.5
28	0.0	355.0	361.0	365.2	368.5	371.9	375.2	378.5	381.9	385.2	388.4
26	0.0	244.1	252.8	260.1	264.4	267.9	271.2	274.4	277.4	280.4	283.2
58	0.0	400.5	407.5	414.5	417.5	420.2	422.7	424.7	426.7	428.4	429.7
66	0.0	523.7	530.7	534.9	538.0	541.0	543.8	546.1	548.3	550.3	552.3
