Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
67	0.0	19.0	25.0	29.0	32.0	35.0	38.0	40.0	42.0	44.0	46.0
58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	101.0	550.0	694.0	790.0	886.0	960.0	1032.0	1104.0	1154.0	1204.0	1254.0
103	0.0	6.0	10.0	14.0	17.0	20.0	23.0	25.0	27.0	29.0	31.0
93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	0.0	19.5	24.2	28.2	31.4	34.5	37.5	40.5	42.7	44.7	46.7
90	0.0	468.0	618.0	718.0	818.0	895.0	970.0	1045.0	1097.0	1149.0	1201.0
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	0.0	62.0	86.0	102.0	118.0	130.0	142.0	154.0	162.0	170.0	178.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	0.0	47.5	59.5	67.7	75.7	81.7	87.7	91.7	95.7	99.7	103.7
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	0.0	17.0	23.0	27.0	31.0	34.0	37.0	40.0	42.0	44.0	46.0
29	0.0	28.0	34.0	38.0	42.0	45.0	48.0	50.0	52.0	54.0	56.0
46	0.0	128.0	164.0	188.0	208.0	226.0	244.0	262.0	274.0	286.0	298.0
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
