Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
13	15.5	223.0	226.3	229.1	230.8	232.4	234.0	235.5	237.0	238.5	239.8
11	9.7	216.2	220.2	223.1	225.4	227.7	229.3	230.9	232.4	233.9	235.4
23	49.5	98.5	101.8	105.0	107.8	110.7	113.5	116.3	119.2	122.0	124.0
31	8.7	132.7	136.3	139.7	142.6	145.4	147.9	150.2	152.6	154.9	157.2
26	6.7	188.7	192.6	196.4	199.6	202.0	204.3	206.6	209.0	211.2	213.1
35	2.0	395.5	398.3	399.9	401.5	403.0	404.5	406.0	407.3	408.7	409.9
19	1.8	176.8	179.0	181.2	182.9	184.5	185.8	187.2	188.5	189.8	190.7
27	1.0	176.0	178.2	180.3	182.1	183.7	185.0	186.3	187.7	188.9	189.9
73	0.0	90.5	94.4	98.3	102.1	104.8	107.1	109.4	111.8	114.0	116.1
52	0.5	8.8	15.6	21.7	26.1	29.5	32.3	34.6	36.9	39.1	41.3
89	0.0	306.0	310.2	311.7	313.1	314.4	315.3	316.2	317.1	318.0	318.8
76	0.0	278.0	279.6	281.1	282.4	283.5	284.6	285.6	286.6	287.5	288.4
92	0.0	393.5	396.3	397.9	399.5	401.0	402.5	404.0	405.3	406.7	408.0
85	0.0	273.0	274.7	276.2	277.8	279.2	280.5	281.8	283.1	284.3	285.6
90	0.0	90.5	98.8	105.6	110.4	113.0	115.2	117.2	119.1	121.0	122.9
38	0.0	216.0	219.0	221.9	224.7	227.6	230.1	232.6	234.9	237.2	239.6
59	0.0	98.0	101.9	105.8	109.6	112.3	114.6	116.9	119.3	121.5	123.6
69	0.0	505.0	505.7	506.3	506.3	506.3	506.3	506.3	506.3	506.3	506.3
53	0.0	367.0	367.6	368.0	368.5	368.9	369.3	369.7	370.1	370.5	370.9
9	0.0	128.0	133.4	136.7	139.6	142.5	145.3	148.1	151.0	153.8	156.3
