Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
58	23.2	681.2	686.2	690.2	693.7	696.0	698.3	700.6	702.7	704.6	706.1
27	19.5	447.5	448.9	449.6	450.1	450.5	450.9	451.2	451.2	451.2	451.2
14	55.3	211.3	214.7	218.0	221.2	224.2	227.0	229.2	231.4	233.4	235.4
18	16.4	67.9	72.6	76.8	80.6	83.6	86.1	88.5	90.5	92.5	94.5
2	13.2	16.8	19.4	21.9	24.2	26.2	28.2	30.0	31.6	33.1	34.6
38	5.6	142.1	145.7	149.2	152.7	156.1	159.1	161.8	164.1	166.5	168.6
6	5.2	8.2	11.2	13.6	15.6	17.1	18.6	20.1	21.6	23.1	24.4
44	4.5	159.8	163.9	166.8	169.1	171.4	173.5	175.5	177.5	179.4	180.9
32	2.8	7.0	10.9	14.5	17.5	20.0	22.5	25.0	27.4	29.5	31.7
48	4.0	392.0	398.5	402.6	406.3	409.7	412.5	414.5	416.5	418.4	420.0
84	0.0	637.0	641.0	644.9	647.9	649.9	651.9	653.9	655.4	656.4	657.4
50	2.5	5.5	8.5	10.8	12.8	14.3	15.8	17.3	18.8	20.3	21.8
87	0.0	498.9	505.4	510.1	514.6	518.2	521.2	524.2	527.2	529.7	531.7
81	0.0	687.5	692.0	695.4	698.3	700.6	702.9	705.1	706.8	708.3	709.8
85	0.0	752.3	758.4	763.9	767.3	770.4	772.7	775.1	777.3	779.6	781.7
99	0.0	392.0	400.0	406.0	411.6	416.1	420.4	424.4	428.0	431.5	434.8
67	0.0	136.5	140.2	143.7	147.2	150.6	153.6	156.2	158.6	160.9	163.1
74	0.0	1371.5	1376.3	1378.8	1380.3	1381.3	1382.0	1382.5	1383.0	1383.5	1383.8
36	0.0	147.5	151.5	155.0	157.9	160.6	163.2	165.7	168.2	170.4	172.3
70	0.0	504.7	505.8	507.0	508.1	509.2	510.2	510.9	511.6	512.3	512.8
