Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
10	5.6	6.8	7.8	8.8	9.9	10.9	11.9	12.8	13.7	14.5	15.2
12	3.9	92.9	93.9	94.9	95.9	96.8	97.6	98.5	99.2	99.9	100.6
2	29.6	30.7	31.8	32.8	33.6	34.4	35.1	35.8	36.5	37.2	37.6
31	2.4	85.7	86.9	88.0	89.0	90.0	91.0	92.0	92.9	93.6	94.4
9	1.7	2.9	4.1	5.1	6.1	7.1	7.9	8.7	9.5	10.2	11.0
65	0.2	271.2	272.2	273.0	273.9	274.7	275.4	276.2	276.9	277.7	278.4
54	0.2	265.2	265.9	266.6	267.2	267.7	268.3	268.8	269.3	269.8	270.2
41	0.2	81.2	82.3	83.4	84.4	85.4	86.3	87.2	88.2	88.9	89.7
73	0.0	279.0	279.7	280.3	281.0	281.6	282.1	282.6	283.1	283.6	284.1
39	0.2	88.2	89.1	89.8	90.6	91.4	92.1	92.9	93.6	94.2	94.9
81	0.0	97.0	97.9	98.8	99.6	100.4	101.1	101.8	102.4	103.0	103.6
97	0.0	83.2	84.5	85.5	86.5	87.4	88.3	89.1	90.0	90.7	91.4
84	0.0	96.0	97.3	98.6	99.5	100.4	101.2	102.1	102.8	103.5	104.1
94	0.0	95.0	95.9	96.7	97.5	98.3	99.0	99.8	100.5	101.2	101.9
82	0.0	374.0	374.5	374.7	374.9	375.1	375.3	375.5	375.6	375.8	376.0
24	0.0	374.0	374.5	374.7	374.9	375.1	375.3	375.5	375.6	375.8	376.0
55	0.0	172.0	172.9	173.6	174.3	174.9	175.6	176.2	176.7	177.3	177.8
66	0.0	95.0	96.1	97.2	97.9	98.7	99.3	99.9	100.5	101.0	101.5
70	0.0	195.0	195.9	196.7	197.4	198.2	198.8	199.5	200.2	200.8	201.5
60	0.0	265.0	265.7	266.4	267.0	267.5	268.1	268.6	269.1	269.6	270.0
