Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
68	0.0	17.0	21.0	25.0	29.0	32.0	35.0	38.0	41.0	43.0	45.0
53	0.0	14.0	18.0	22.0	26.0	29.0	32.0	35.0	38.0	40.0	42.0
66	0.0	16.5	25.5	33.5	41.0	48.0	54.2	60.3	66.3	70.6	74.8
56	0.0	17.0	21.0	25.0	29.0	32.0	35.0	38.0	41.0	44.0	46.0
58	0.0	14.0	18.0	22.0	26.0	29.0	32.0	35.0	38.0	40.0	42.0
91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88	0.0	17.0	21.0	25.0	28.0	31.0	34.0	37.0	40.0	43.0	45.0
86	0.0	8.0	12.8	17.3	20.8	24.0	27.0	30.0	33.0	35.2	37.3
89	0.0	8.0	12.0	16.0	19.0	22.0	25.0	28.0	31.0	33.0	35.0
85	0.0	4.0	8.0	12.0	15.0	18.0	21.0	24.0	27.0	29.0	31.0
24	0.0	19.0	27.0	35.0	42.0	48.0	54.0	60.0	65.0	69.0	73.0
7	0.0	262.0	387.5	511.5	634.7	730.7	825.2	918.5	1011.5	1103.5	1168.1
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	330.5	472.0	612.0	751.0	860.5	965.8	1070.8	1175.8	1279.8	1352.3
14	0.0	264.0	388.0	512.0	633.0	729.0	825.0	921.0	1014.0	1106.0	1170.0
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	0.0	230.0	346.0	462.0	575.0	665.0	755.0	845.0	932.0	1018.0	1078.0
34	0.0	4.0	8.0	12.0	15.0	18.0	21.0	24.0	27.0	29.0	31.0
39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
