Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
1	11.3	16.2	18.8	21.1	23.2	25.1	26.7	28.4	29.9	31.4	32.9
36	8.4	166.4	168.3	170.2	171.0	171.8	172.5	173.3	174.0	174.8	175.4
16	35.7	171.7	174.5	177.3	179.7	182.0	184.2	186.2	187.7	189.2	190.5
24	4.5	219.5	223.0	226.5	228.8	231.2	233.5	235.3	237.2	239.0	240.5
5	3.2	11.7	17.5	23.0	28.2	32.4	35.4	38.0	40.7	42.6	44.5
20	1.0	70.0	74.8	77.6	80.3	83.0	85.1	87.0	88.8	90.6	92.4
77	1.0	219.0	221.3	223.7	225.2	226.7	228.2	229.2	230.2	231.2	232.2
64	0.8	69.8	72.8	75.8	78.7	81.5	83.5	85.2	87.0	88.7	90.4
80	0.0	406.0	407.3	408.7	410.0	411.0	411.0	411.0	411.0	411.0	411.0
76	0.0	349.0	349.7	350.3	350.6	350.9	350.9	350.9	350.9	350.9	350.9
97	0.0	192.0	193.8	195.6	197.0	198.4	199.3	200.2	200.7	201.2	201.7
73	0.0	257.0	258.8	260.5	261.7	262.7	263.7	264.7	265.7	266.7	267.5
89	0.0	247.0	248.2	249.4	250.4	251.4	252.0	252.7	253.2	253.6	254.0
96	0.0	349.0	349.7	350.3	350.6	350.9	350.9	350.9	350.9	350.9	350.9
99	0.0	193.0	195.0	197.0	198.3	199.7	200.8	202.0	203.2	204.2	205.2
26	0.0	154.0	155.9	157.8	159.2	160.7	161.7	162.7	163.5	164.3	165.0
58	0.0	218.0	220.3	222.7	224.2	225.7	227.2	228.2	229.2	230.2	231.2
67	0.0	252.0	252.9	253.8	254.7	255.6	256.2	256.9	257.4	257.9	258.2
71	0.0	329.0	330.3	331.7	333.0	333.7	334.3	334.8	335.2	335.4	335.7
3	0.0	8.5	14.3	19.8	25.1	29.2	32.2	34.9	37.5	39.5	41.4
