Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
7	31.4	38.1	43.2	47.4	51.6	55.3	58.4	61.4	64.0	66.5	68.7
84	27.2	1164.2	1170.4	1176.4	1179.9	1181.8	1183.3	1184.8	1186.3	1187.3	1187.6
5	57.6	181.6	186.8	191.6	195.4	198.4	201.4	204.4	206.9	209.2	211.2
14	19.7	115.3	129.8	137.5	142.9	146.9	150.9	154.5	158.1	160.9	163.7
82	18.5	660.5	674.5	680.0	684.9	688.4	690.9	692.8	694.6	696.5	698.2
89	10.0	835.0	844.3	849.5	853.7	857.8	860.2	862.6	864.2	865.8	867.0
28	9.8	108.3	120.6	126.8	131.7	135.2	138.5	141.7	144.7	147.4	149.9
83	7.8	535.8	543.6	548.3	552.9	556.4	558.7	560.8	562.8	564.3	565.8
62	5.0	177.0	181.8	186.5	190.5	193.5	196.5	199.4	201.8	204.1	206.3
18	6.5	68.0	75.6	80.9	85.6	89.8	93.9	97.1	100.2	103.2	105.6
90	0.0	386.7	394.9	403.1	407.4	411.0	414.5	417.1	419.3	421.3	423.3
79	0.0	554.2	558.7	561.9	564.5	567.1	569.5	571.7	573.2	574.7	575.9
92	0.0	258.7	267.9	273.9	279.3	284.5	289.2	292.7	296.0	299.0	301.5
96	0.0	662.0	669.5	675.7	680.7	684.7	688.2	691.4	694.2	696.2	698.2
93	0.0	1235.0	1240.2	1244.2	1248.2	1252.2	1256.2	1259.7	1262.9	1265.2	1267.2
17	0.0	199.0	217.6	226.6	233.9	238.3	241.7	244.8	248.0	251.1	254.0
54	0.0	350.0	357.0	362.0	367.0	371.9	374.9	377.5	379.7	381.7	383.7
67	0.0	62.0	72.7	79.9	85.4	88.7	92.0	95.0	97.9	100.5	103.0
48	0.0	533.0	538.9	543.7	547.1	549.1	551.0	552.6	554.1	555.5	556.8
59	0.0	483.2	494.2	501.9	507.6	511.3	514.9	518.4	521.0	523.3	525.6
