Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
60	0.0	5.5	9.5	13.2	16.3	19.4	22.4	25.4	27.5	29.6	31.6
0	215.5	418.5	530.5	619.5	691.5	763.5	834.5	903.5	951.5	999.5	1047.5
65	0.0	10.0	15.5	19.5	22.7	25.8	28.8	31.9	35.0	37.1	39.2
68	0.0	212.0	329.0	422.0	497.0	572.0	646.0	718.0	768.0	818.0	868.0
57	0.0	20.0	24.0	28.0	31.0	34.0	37.0	39.0	41.0	43.0	45.0
91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	0.0	19.0	24.0	28.0	31.0	34.0	37.0	40.0	42.0	44.0	46.0
76	0.0	19.0	24.0	28.0	31.0	34.0	37.0	39.0	41.0	43.0	45.0
77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	0.0	21.0	25.0	29.0	32.0	35.0	38.0	41.0	43.0	45.0	47.0
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	0.0	274.0	406.0	511.5	597.0	681.5	764.8	845.8	902.0	958.0	1014.0
10	0.0	212.0	329.0	422.0	497.0	572.0	646.0	718.0	768.0	818.0	868.0
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	0.0	56.5	83.0	99.5	115.0	130.5	145.8	158.1	168.8	179.0	189.2
46	0.0	20.0	24.0	28.0	31.0	34.0	37.0	39.0	41.0	43.0	45.0
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	0.0	20.0	24.0	28.0	31.0	34.0	37.0	39.0	41.0	43.0	45.0
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
