Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
3	8.7	12.7	15.9	18.4	20.7	23.1	25.2	27.4	29.6	31.6	33.5
13	7.2	63.2	68.8	71.4	74.1	76.6	78.7	80.7	82.7	84.6	86.2
4	33.8	37.8	40.5	42.7	44.8	47.0	49.0	50.8	52.6	54.5	56.3
53	5.3	143.3	148.3	150.8	153.1	155.1	156.9	158.4	159.9	161.3	162.6
24	4.8	154.8	158.2	159.8	161.5	162.8	164.0	165.0	166.0	167.0	167.9
18	1.0	6.0	10.8	14.6	17.8	21.0	24.0	26.4	28.6	30.7	32.5
34	1.0	98.0	101.0	103.4	105.1	106.7	108.4	110.1	111.6	113.1	114.6
7	0.8	56.8	62.4	65.6	68.2	70.9	73.4	75.6	77.6	79.4	81.1
82	0.0	138.0	143.0	145.5	147.8	149.9	151.9	153.8	155.3	156.8	158.1
39	0.5	5.5	10.3	14.1	17.4	20.5	23.5	25.9	28.1	30.2	32.0
94	0.0	243.0	245.3	246.3	247.3	248.0	248.5	249.0	249.5	249.9	250.3
77	0.0	273.0	276.0	278.2	280.1	281.6	283.1	284.6	286.1	287.6	288.9
83	0.0	149.0	152.9	155.8	157.9	159.9	161.8	163.6	165.4	166.9	168.4
97	0.0	520.0	520.7	520.7	520.7	520.7	520.7	520.7	520.7	520.7	520.7
93	0.0	178.0	181.1	183.6	185.8	187.8	189.6	191.4	192.9	194.4	195.8
30	0.0	91.0	94.1	96.8	98.9	100.9	102.7	104.6	106.4	107.9	109.3
56	0.0	178.5	180.2	181.9	183.2	184.2	185.1	185.9	186.6	187.2	187.9
67	0.0	4.0	7.2	9.9	12.4	14.7	17.1	19.2	21.4	23.4	25.3
47	0.0	191.0	194.4	197.5	200.3	202.5	204.6	206.3	207.8	209.3	210.7
61	0.0	284.0	285.0	285.7	285.9	286.2	286.4	286.7	286.7	286.7	286.7
