Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
12	13.0	58.0	59.5	60.9	62.3	63.6	65.0	66.2	67.3	68.4	69.2
7	7.5	53.0	54.5	55.9	57.3	58.6	59.8	60.8	61.7	62.5	63.4
0	47.1	49.3	51.4	53.4	55.3	57.1	58.8	60.3	61.7	63.0	64.4
11	3.7	89.7	91.8	93.6	95.5	96.8	98.1	99.4	100.7	102.0	103.2
48	2.8	466.3	467.0	467.7	468.2	468.7	469.2	469.7	470.2	470.7	471.1
37	0.7	95.7	97.7	99.6	101.4	103.0	104.7	106.2	107.5	108.8	110.1
35	0.6	221.6	222.8	223.7	224.6	225.4	226.1	226.8	227.4	227.9	228.4
64	0.4	138.9	140.0	141.1	142.2	143.3	144.3	145.3	146.2	147.1	148.0
46	0.2	192.2	194.0	195.7	197.3	198.7	200.0	201.2	202.3	203.4	204.5
69	0.2	557.8	558.4	559.1	559.6	560.1	560.6	561.1	561.6	562.1	562.6
83	0.0	373.0	374.5	376.0	377.3	378.3	379.3	380.3	381.2	382.0	382.8
28	0.2	225.2	226.2	227.1	228.0	228.8	229.5	230.2	230.9	231.4	231.9
99	0.0	206.6	207.9	209.2	210.4	211.6	212.7	213.7	214.7	215.6	216.5
80	0.0	463.5	464.5	465.5	466.5	467.4	468.1	468.7	469.4	469.9	470.4
84	0.0	397.5	398.2	398.9	399.4	400.0	400.5	401.0	401.5	402.0	402.5
55	0.0	227.5	228.6	229.6	230.6	231.6	232.5	233.5	234.4	235.2	236.0
59	0.0	371.5	372.9	374.2	375.3	376.2	377.0	377.7	378.4	379.1	379.7
73	0.0	2.4	4.8	7.1	8.9	10.8	12.5	14.0	15.6	17.0	18.4
53	0.0	315.0	316.2	316.9	317.6	318.3	318.9	319.4	319.9	320.3	320.8
68	0.0	413.0	414.2	414.8	415.3	415.9	416.4	416.8	417.3	417.7	418.2
