Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
1	17.7	24.5	28.1	31.2	33.9	36.2	38.5	40.5	42.2	43.7	45.2
14	8.1	324.1	328.6	332.3	334.2	336.0	337.8	339.7	341.5	343.3	344.8
7	39.0	182.0	187.0	190.3	193.3	195.8	198.3	200.7	202.8	204.7	206.2
49	7.7	279.2	284.8	286.8	288.8	290.3	291.7	293.1	294.1	295.1	296.1
17	6.0	165.5	175.0	179.8	183.3	186.6	189.3	191.8	194.3	196.8	199.3
12	2.0	11.9	16.4	20.8	24.6	28.2	31.4	34.4	37.3	39.6	41.8
20	2.0	173.0	181.4	184.8	187.8	190.8	193.3	195.6	197.7	199.7	201.5
58	1.3	163.8	172.2	178.9	182.4	185.5	187.8	190.2	192.5	194.8	197.0
78	0.0	408.0	411.2	414.3	416.3	417.7	418.8	419.9	421.1	422.1	423.1
25	0.8	85.3	92.9	96.8	100.2	103.1	105.8	108.3	110.8	113.3	115.0
89	0.0	269.0	277.4	280.7	283.7	286.7	289.2	291.6	293.7	295.7	297.5
80	0.0	11.2	17.3	22.3	27.0	30.3	33.6	36.8	39.8	42.8	45.0
92	0.0	376.0	378.0	379.4	380.4	381.3	382.1	383.0	383.6	384.3	384.6
85	0.0	278.0	285.2	288.8	291.9	294.2	296.6	298.9	301.2	303.4	305.1
90	0.0	95.0	103.8	107.1	110.1	113.1	115.6	117.9	120.0	122.0	123.8
29	0.0	71.9	84.2	88.2	92.1	95.5	98.6	101.3	103.9	106.4	108.7
59	0.0	95.0	102.4	106.0	109.4	112.3	114.8	117.2	119.5	121.9	124.1
69	0.0	274.5	280.1	282.1	284.1	285.9	287.4	288.8	290.2	291.4	292.4
53	0.0	182.5	188.4	190.4	192.4	194.0	195.5	197.0	198.4	199.7	200.8
62	0.0	601.0	604.2	606.3	607.8	608.8	609.8	610.8	611.8	612.5	613.2
