,Static bc,Dyn,Dyn One Node,Affected
0,156.55271673202515,1.6954150199890137,0.07201743125915527,39946
1,154.67609357833862,0.9943559169769287,0.1668686866760254,80628
2,155.69921278953552,2.7601754665374756,0.1587541103363037,135634
3,152.37914729118347,1.7650294303894043,0.0462188720703125,34654
4,150.78661036491394,0.42751407623291016,0.23739147186279297,213630
5,149.8198812007904,0.42268800735473633,0.14707183837890625,92700
6,148.74083256721497,2.838829517364502,0.20277976989746094,226196
7,206.21858644485474,2.2487359046936035,0.06684756278991699,33654
8,212.46258211135864,0.5295572280883789,0.17969870567321777,82040
9,217.8377640247345,6.965415000915527,0.34190893173217773,456638
