,Static bc,Dyn,Dyn One Node,Affected
0,12.133812665939331,0.06265735626220703,0.0023021697998046875,7612
1,12.140396356582642,0.07136774063110352,0.0037398338317871094,5460
2,12.141515016555786,0.11818456649780273,0.003515481948852539,3540
3,12.1412672996521,0.21583056449890137,0.005669355392456055,3396
4,12.143698692321777,0.13421344757080078,0.005631685256958008,13052
5,12.27121877670288,0.05143475532531738,0.006472349166870117,7282
6,12.136250257492065,0.45479512214660645,0.008646965026855469,9900
7,12.143859624862671,0.404691219329834,0.004812717437744141,10520
8,12.140434741973877,0.10135746002197266,0.006502866744995117,5350
9,12.153775930404663,0.08530998229980469,0.00745701789855957,6732
