,Static bc,Dyn,Dyn One Node,Affected
0,2.0842692852020264,0.08847522735595703,0.025830984115600586,44940
1,2.0962471961975098,0.09564518928527832,0.02183675765991211,75844
2,2.096487283706665,0.01978158950805664,0.01398468017578125,15004
3,2.0968947410583496,0.08597970008850098,0.018288612365722656,92048
4,2.0929553508758545,0.11275196075439453,0.015453815460205078,68888
5,2.1013283729553223,0.04741692543029785,0.009963750839233398,20558
6,2.0989208221435547,0.04811549186706543,0.006031036376953125,19532
7,2.0975754261016846,0.09948492050170898,0.012548208236694336,77210
8,2.1568822860717773,0.05484771728515625,0.012132883071899414,43484
9,2.1023621559143066,0.06757473945617676,0.006783962249755859,47130
