,Static bc,Dyn,Dyn One Node,Affected
0,3.3913352489471436,0.030023574829101562,0.0029144287109375,49896
1,3.387711524963379,0.07761073112487793,0.0028524398803710938,7990
2,3.3883187770843506,0.04142618179321289,0.003098011016845703,23010
3,3.3925940990448,0.016276836395263672,0.012852668762207031,16656
4,3.392152786254883,0.05299258232116699,0.005410671234130859,12128
5,3.4059576988220215,0.046133995056152344,0.005904674530029297,49992
6,3.513993978500366,0.08457016944885254,0.006178855895996094,19478
7,3.4101195335388184,0.02692556381225586,0.005166530609130859,15600
8,3.403243064880371,0.009769678115844727,0.007448911666870117,4772
9,3.418788433074951,0.03607511520385742,0.007496833801269531,83440
