,Static bc,Dyn,Dyn One Node,Affected
0,18.439454078674316,0.5849695205688477,0.02276468276977539,78150
1,18.443443059921265,0.23721051216125488,0.054000139236450195,51828
2,18.420015811920166,0.3701958656311035,0.06296420097351074,74634
3,18.441829681396484,0.22992372512817383,0.06082653999328613,39602
4,18.42505431175232,0.2755568027496338,0.07662844657897949,86410
5,18.444709539413452,0.4047222137451172,0.03739190101623535,39262
6,18.453846216201782,0.4559051990509033,0.04123663902282715,46060
7,18.456079244613647,0.5522933006286621,0.0722966194152832,82218
8,18.45576810836792,0.22432184219360352,0.053678035736083984,45262
9,18.453707933425903,0.3867759704589844,0.05765414237976074,70278
